length,width,depth,area,ambient_temp,surface_moisture,defect_severity,mass_required_kg,is_thermal_ok,is_monsoon_sim
1.529,0.545,0.0589,0.8338,28.4,28.3,1,145.482,0,1
1.228,0.612,0.0667,0.752,34.6,4.2,1,148.457,1,0
0.458,0.659,0.071,0.3018,27.2,29.9,1,63.325,0,1
0.303,0.955,0.0434,0.2896,36.2,2.1,0,37.276,1,0
1.512,1.055,0.0226,1.5951,29.0,7.8,0,106.632,1,0
0.743,3.074,0.0679,2.2832,30.3,5.0,1,458.28,1,0
0.356,1.251,0.023,0.4452,29.0,2.2,0,30.219,1,0
1.059,1.031,0.0664,1.0919,35.7,6.3,1,215.013,1,0
0.141,0.499,0.0747,0.0704,28.9,12.9,1,15.561,0,1
0.495,0.2,0.0825,0.0991,35.7,3.9,1,24.248,1,0
0.732,0.148,0.0574,0.1087,25.9,14.2,1,18.44,0,1
0.26,0.62,0.1002,0.1612,25.0,18.4,2,47.779,0,1
4.277,0.983,0.0322,4.203,26.0,15.4,0,400.25,0,1
0.335,0.94,0.0891,0.3146,31.9,7.9,1,83.222,1,0
0.24,2.544,0.0447,0.6097,34.1,5.6,0,80.56,1,0
0.328,0.486,0.0607,0.1591,35.9,1.6,1,28.602,1,0
1.566,0.891,0.0631,1.3944,25.0,9.0,1,260.428,0,0
0.654,1.851,0.087,1.2107,39.8,10.9,1,312.179,0,0
0.933,0.514,0.038,0.4799,33.7,11.5,0,54.07,0,0
0.121,0.62,0.1027,0.0751,35.7,0.8,2,22.809,1,0
0.135,2.151,0.02,0.2905,38.9,9.1,0,17.227,0,0
0.69,0.739,0.0584,0.5103,26.6,8.8,1,88.17,0,0
1.796,1.386,0.0715,2.4898,30.1,7.1,1,525.751,1,0
2.265,2.294,0.0807,5.1966,39.5,2.0,1,1241.028,1,0
0.191,0.777,0.0314,0.1482,22.2,25.0,0,13.805,0,1
0.873,0.192,0.0206,0.168,29.9,37.2,0,10.246,0,1
2.544,1.479,0.0862,3.7644,27.2,2.6,1,962.824,1,0
0.591,1.462,0.0649,0.864,33.0,10.9,1,165.726,0,0
1.869,0.198,0.0219,0.3696,30.2,10.1,0,23.942,0,0
0.244,0.735,0.0498,0.1791,28.6,37.9,0,26.409,0,1
2.839,0.634,0.0452,1.8005,35.2,11.7,0,241.214,0,0
1.492,1.603,0.0827,2.3912,25.6,21.2,1,585.731,0,1
2.936,0.357,0.0528,1.0477,26.2,38.5,1,163.708,0,1
1.229,0.544,0.0563,0.6691,28.3,2.9,1,111.948,1,0
0.552,0.843,0.0549,0.4648,38.4,7.2,1,75.64,1,0
2.884,0.683,0.0934,1.9683,30.1,10.1,1,545.369,0,0
0.422,2.581,0.0782,1.0903,28.6,23.2,1,252.281,0,1
0.504,2.688,0.0738,1.3542,26.1,2.4,1,295.639,1,0
1.307,0.168,0.064,0.2196,36.4,11.9,1,41.63,0,0
1.55,0.383,0.0638,0.5933,33.2,4.6,1,112.171,1,0
2.751,0.106,0.0418,0.2917,25.7,38.4,0,36.087,0,1
0.329,0.533,0.0774,0.1754,36.1,3.5,1,40.22,1,0
1.699,0.968,0.0525,1.6453,38.0,11.5,1,255.564,0,0
1.441,0.61,0.0344,0.8791,24.1,27.0,0,89.55,0,1
0.166,0.156,0.0571,0.0258,27.7,12.5,1,4.364,0,1
0.59,0.274,0.0603,0.1619,27.7,4.6,1,28.889,1,0
0.432,0.252,0.0869,0.1091,30.2,10.2,1,28.038,0,0
0.463,0.673,0.0771,0.3115,24.8,7.7,1,71.031,0,0
4.171,1.006,0.0402,4.1955,30.4,26.6,0,499.312,0,1
1.129,0.404,0.0808,0.4565,25.5,11.3,1,109.193,0,0
1.365,0.212,0.02,0.2891,28.1,9.6,0,17.137,0,0
3.856,1.382,0.0683,5.3285,21.2,7.6,1,1078.935,0,0
0.574,1.664,0.0462,0.9541,36.2,9.8,0,130.576,0,0
1.719,0.359,0.0319,0.6169,36.1,8.1,0,58.279,0,0
0.67,0.537,0.0364,0.3597,29.1,1.4,0,38.74,1,0
2.137,0.168,0.0893,0.3598,35.0,5.6,1,95.043,1,0
0.299,0.307,0.069,0.0918,27.1,9.2,1,18.785,0,0
3.05,1.265,0.0676,3.86,30.7,1.2,1,771.171,1,0
0.347,0.464,0.0794,0.1608,27.5,17.6,1,37.935,0,1
0.495,0.842,0.0553,0.4169,26.0,8.0,1,68.317,0,0
1.511,2.438,0.0876,3.6844,36.4,5.0,1,955.046,1,0
0.6,1.129,0.0556,0.6778,33.3,4.4,1,111.582,1,0
1.037,0.583,0.02,0.6049,24.8,1.0,0,35.8,0,0
0.688,0.466,0.0922,0.3204,27.7,10.5,1,87.545,0,0
1.456,0.269,0.02,0.3919,30.2,6.1,0,23.175,1,0
0.359,1.229,0.0547,0.4414,28.5,5.7,1,71.374,1,0
0.16,0.195,0.0751,0.0313,26.0,16.6,1,6.954,0,1
0.457,0.151,0.02,0.0688,33.5,4.9,0,4.078,1,0
0.743,0.189,0.0571,0.1401,29.3,8.6,1,23.652,0,0
0.284,0.323,0.0567,0.0916,29.6,8.8,1,15.395,0,0
0.538,0.889,0.0784,0.4786,38.8,11.2,1,111.051,0,0
0.611,1.681,0.0697,1.0265,24.4,21.8,1,212.288,0,1
0.159,3.5,0.0332,0.5569,39.7,3.2,0,54.717,1,0
0.975,1.152,0.047,1.1235,31.4,9.6,0,156.36,0,0
2.257,0.226,0.0386,0.5106,30.5,0.9,0,58.192,1,0
0.265,0.36,0.0229,0.0953,24.9,8.9,0,6.454,0,0
1.011,0.213,0.047,0.2155,27.4,23.9,0,29.952,0,1
1.193,0.198,0.0897,0.2365,41.3,11.6,1,62.824,0,0
0.644,0.771,0.0689,0.4962,30.1,6.4,1,101.285,1,0
1.308,1.998,0.0685,2.6123,34.2,4.3,1,530.674,1,0
0.629,1.022,0.0358,0.643,36.7,10.2,0,68.257,0,0
0.802,1.39,0.021,1.1156,39.3,3.3,0,69.331,1,0
0.107,0.668,0.0714,0.0717,28.9,3.9,1,15.152,1,0
1.277,0.616,0.0802,0.7864,23.4,4.7,1,186.803,0,0
1.183,2.318,0.0633,2.7415,29.8,8.6,1,513.239,0,0
0.139,1.124,0.0752,0.1564,23.9,7.5,1,34.857,0,0
0.559,0.592,0.0533,0.3311,30.8,5.1,1,52.275,1,0
3.965,0.423,0.0611,1.679,31.5,7.2,1,303.982,1,0
0.646,0.178,0.0456,0.1151,30.8,2.0,0,15.558,1,0
0.797,1.476,0.0677,1.1766,26.2,26.0,1,235.703,0,1
2.507,0.248,0.0563,0.6228,26.3,2.6,1,103.843,1,0
1.363,0.679,0.0721,0.9255,33.3,4.3,1,197.614,1,0
0.972,0.911,0.0756,0.8862,33.0,9.5,1,198.607,0,0
1.699,1.19,0.0529,2.0218,37.2,10.3,1,316.945,0,0
2.098,0.17,0.0703,0.3558,25.0,18.6,1,73.88,0,1
0.71,0.109,0.0461,0.0772,36.3,6.5,0,10.539,1,0
0.745,1.079,0.0959,0.8037,31.0,2.3,1,228.41,1,0
0.588,0.585,0.0882,0.3437,25.5,30.9,1,89.903,0,1
3.502,0.26,0.0659,0.9102,33.0,6.3,1,177.551,1,0
1.295,3.315,0.0448,4.2917,35.9,8.4,0,569.092,0,0
0.187,1.354,0.0649,0.253,33.1,6.9,1,48.521,1,0
2.087,0.791,0.0357,1.6516,31.2,1.7,0,174.624,1,0
0.755,1.069,0.0682,0.807,29.1,33.9,1,163.288,0,1
0.171,0.235,0.02,0.0402,24.9,28.9,0,2.385,0,1
0.898,2.721,0.0384,2.443,31.6,4.5,0,278.02,1,0
0.64,3.5,0.0674,2.2395,28.5,11.4,1,447.117,0,0
2.202,0.936,0.0879,2.0615,31.0,11.2,1,536.656,0,0
0.328,0.983,0.0673,0.3225,28.2,33.1,1,64.335,0,1
1.851,1.075,0.0536,1.9905,38.5,9.5,1,316.268,0,0
0.916,0.977,0.0407,0.8945,27.5,21.7,0,107.745,0,1
0.156,0.562,0.0498,0.0877,33.9,11.7,0,12.918,0,0
3.67,0.722,0.0247,2.6512,26.0,19.9,0,193.322,0,1
0.819,0.366,0.0521,0.2995,29.9,2.9,1,46.136,1,0
0.444,0.574,0.1041,0.2546,25.8,0.5,2,78.376,1,0
0.734,0.558,0.0625,0.4097,30.3,2.9,1,75.849,1,0
2.051,0.372,0.0683,0.7627,36.9,6.8,1,154.6,1,0
0.464,1.336,0.0228,0.6195,36.8,7.0,0,41.8,1,0
0.314,0.522,0.0881,0.1638,25.3,11.6,1,42.809,0,0
0.238,0.742,0.0904,0.1767,23.2,9.5,1,47.299,0,0
0.454,0.236,0.0643,0.1069,38.9,7.8,1,20.394,1,0
1.614,0.615,0.0723,0.9935,29.8,8.2,1,212.572,0,0
0.738,1.247,0.0466,0.9199,35.7,9.8,0,127.076,0,0
0.358,0.57,0.0545,0.2042,29.3,11.7,1,32.894,0,0
0.282,0.753,0.1139,0.2121,32.7,4.7,2,71.507,1,0
0.505,1.068,0.0506,0.5387,32.3,6.4,1,80.754,1,0
2.912,0.494,0.0966,1.4389,26.8,9.5,1,412.128,0,0
0.52,0.449,0.1011,0.2334,41.8,7.4,2,69.819,1,0
4.533,0.172,0.0688,0.7784,28.8,6.7,1,158.444,1,0
0.764,0.798,0.0576,0.61,32.2,1.4,1,103.982,1,0
0.297,1.082,0.0335,0.3218,31.4,3.6,0,31.915,1,0
2.318,0.796,0.0708,1.8458,34.3,4.8,1,386.862,1,0
0.717,0.367,0.0603,0.2629,33.2,6.6,1,46.867,1,0
1.337,0.343,0.0579,0.4591,36.1,4.1,1,78.629,1,0
4.217,0.239,0.0505,1.0079,28.2,20.4,1,150.663,0,1
0.151,0.139,0.066,0.021,31.1,8.3,1,4.108,0,0
0.202,0.545,0.0693,0.11,25.9,14.1,1,22.562,0,1
1.375,0.24,0.0593,0.3299,27.8,6.5,1,57.866,1,0
0.431,1.039,0.0835,0.4479,29.3,7.8,1,111.034,1,0
0.304,2.711,0.0596,0.8232,23.2,8.9,1,145.078,0,0
0.14,0.161,0.057,0.0226,30.0,5.2,1,3.807,1,0
0.122,1.888,0.0375,0.2305,25.9,3.1,0,25.593,1,0
1.589,0.958,0.0558,1.5221,28.2,6.7,1,251.089,1,0
0.244,1.674,0.0587,0.4092,34.3,1.4,1,71.07,1,0
0.731,0.235,0.02,0.1715,27.2,39.5,0,10.155,0,1
1.031,1.996,0.0703,2.0578,30.1,40.0,1,427.898,0,1
0.659,2.634,0.0783,1.7362,25.6,31.3,1,402.756,0,1
0.127,1.998,0.104,0.2547,32.1,10.6,2,78.39,0,0
1.63,1.332,0.0414,2.1707,32.6,8.1,0,265.621,0,0
0.111,0.176,0.0578,0.0194,27.0,10.5,1,3.324,0,1
1.535,0.3,0.0691,0.4598,31.9,7.0,1,93.864,1,0
2.338,2.055,0.0589,4.8035,36.5,5.3,1,839.47,1,0
0.667,0.308,0.045,0.2058,31.2,28.9,0,27.422,0,1
0.867,0.442,0.0306,0.383,27.9,2.0,0,34.69,1,0
0.748,0.141,0.0614,0.1058,28.6,38.6,1,19.217,0,1
0.593,0.891,0.0846,0.5285,29.0,5.4,1,132.347,1,0
2.284,0.763,0.0601,1.7424,26.0,17.2,1,310.018,0,1
2.344,2.711,0.0588,6.3545,31.7,11.2,1,1105.162,0,0
0.509,1.883,0.0677,0.9588,29.6,10.7,1,192.245,0,0
1.055,0.664,0.0751,0.7004,28.1,10.5,1,155.802,0,1
2.716,0.852,0.0666,2.3139,33.1,4.9,1,455.965,1,0
3.372,0.526,0.0353,1.775,27.3,29.9,0,185.315,0,1
0.811,0.214,0.0692,0.1733,32.1,10.1,1,35.565,0,0
0.703,1.719,0.0475,1.2082,25.4,32.6,0,169.714,0,1
0.427,0.738,0.0456,0.3149,26.0,2.2,0,42.517,1,0
3.291,0.543,0.0384,1.7879,26.4,33.3,0,203.202,0,1
0.254,0.157,0.0583,0.0398,26.2,25.6,1,6.87,0,1
0.967,0.976,0.0492,0.9437,30.9,9.1,0,137.728,0,0
0.432,0.508,0.0541,0.2196,30.5,1.5,1,35.173,1,0
0.427,0.334,0.04,0.1427,27.4,26.0,0,16.943,0,1
0.619,1.775,0.0779,1.0989,27.5,10.9,1,253.32,0,0
5.0,0.262,0.0522,1.3116,33.5,4.2,1,202.657,1,0
0.157,0.679,0.0455,0.1063,30.6,35.7,0,14.305,0,1
0.964,1.371,0.0262,1.3215,30.3,1.1,0,102.631,1,0
0.186,1.613,0.0936,0.3003,34.0,1.6,1,83.311,1,0
0.268,1.466,0.0289,0.3927,23.9,39.4,0,33.553,0,1
0.679,1.916,0.0657,1.3007,33.8,7.6,1,252.612,1,0
0.814,0.223,0.0732,0.1815,37.3,5.6,1,39.412,1,0
0.399,2.357,0.0522,0.9415,33.2,4.1,1,145.72,1,0
0.48,0.109,0.0684,0.0522,31.5,7.3,1,10.574,1,0
0.191,0.336,0.0699,0.0643,25.6,9.9,1,13.293,0,0
0.461,0.17,0.0768,0.0785,26.4,21.5,1,17.846,0,1
3.498,2.428,0.0721,8.4935,34.5,7.3,1,1811.353,1,0
2.995,0.541,0.0537,1.621,31.9,7.7,1,258.272,1,0
0.508,0.403,0.052,0.2046,31.1,9.7,1,31.54,0,0
0.946,0.246,0.101,0.233,29.2,19.6,2,69.636,0,1
2.503,0.236,0.0819,0.5896,28.8,2.4,1,143.103,1,0
0.106,0.861,0.046,0.0915,37.0,5.9,0,12.464,1,0
1.764,0.139,0.0666,0.2445,28.5,20.8,1,48.198,0,1
3.064,0.822,0.0679,2.5176,27.2,4.6,1,505.533,1,0
0.196,1.292,0.0596,0.2529,27.1,29.8,1,44.715,0,1
0.276,0.835,0.0951,0.2305,27.1,26.5,1,64.987,0,1
3.338,1.502,0.0579,5.012,35.9,7.5,1,860.113,1,0
0.871,0.347,0.0584,0.3019,35.8,11.7,1,52.134,0,0
0.114,0.164,0.0765,0.0188,30.5,1.3,1,4.252,1,0
0.398,1.121,0.0411,0.4461,28.4,31.5,0,54.329,0,1
0.698,1.509,0.0495,1.0528,26.5,31.4,0,154.191,0,1
1.281,0.657,0.0894,0.8416,30.7,38.0,1,222.981,0,1
1.421,1.475,0.0594,2.0955,31.1,1.9,1,368.885,1,0
5.0,0.59,0.0439,2.9494,30.3,2.0,0,383.667,1,0
0.439,0.277,0.0635,0.1216,32.3,3.6,1,22.845,1,0
0.873,0.615,0.0629,0.5363,28.8,1.0,1,99.673,1,0
0.862,0.295,0.0867,0.254,26.8,37.9,1,65.158,0,1
0.62,0.611,0.0818,0.379,29.4,26.4,1,91.989,0,1
0.285,0.228,0.0641,0.065,32.3,10.9,1,12.345,0,0
3.892,0.264,0.0932,1.0284,36.8,7.7,1,283.61,1,0
2.019,1.816,0.0855,3.6671,23.6,7.1,1,929.672,0,0
0.79,0.199,0.0672,0.1568,24.2,8.8,1,31.228,0,0
1.024,0.303,0.0431,0.3106,29.9,11.7,0,39.563,0,0
0.358,3.5,0.0958,1.2523,28.4,36.4,1,355.109,0,1
0.885,0.786,0.0854,0.6958,31.9,2.9,1,175.773,1,0
1.287,0.805,0.0358,1.0365,37.7,5.5,0,109.707,1,0
0.824,1.591,0.0481,1.3112,35.9,7.6,0,186.77,1,0
4.734,0.694,0.0333,3.2874,32.7,9.5,0,324.526,0,0
1.045,0.301,0.0385,0.3141,28.7,35.4,0,35.839,0,1
0.564,0.539,0.0854,0.3039,33.0,10.4,1,76.75,0,0
1.579,1.225,0.0618,1.9347,40.0,9.4,1,353.851,0,0
0.287,1.747,0.0467,0.5013,30.9,7.5,0,69.257,1,0
0.585,0.355,0.0751,0.208,29.1,34.4,1,46.229,0,1
0.526,0.343,0.0768,0.1805,26.5,39.7,1,40.996,0,1
0.665,0.418,0.0867,0.2778,27.5,19.3,1,71.174,0,1
1.622,0.825,0.0722,1.3392,34.0,6.6,1,286.38,1,0
0.762,0.361,0.0728,0.2752,32.1,1.1,1,59.247,1,0
1.68,1.889,0.0435,3.1734,28.9,5.1,0,409.777,1,0
0.959,3.154,0.062,3.0249,23.6,13.9,1,554.183,0,1
0.519,1.009,0.0594,0.5235,39.5,7.5,1,92.228,1,0
1.761,2.913,0.02,5.1292,31.2,10.6,0,303.53,0,0
0.372,0.372,0.0672,0.1383,39.6,4.8,1,27.437,1,0
0.354,1.451,0.0258,0.5137,27.4,2.8,0,39.341,1,0
0.802,1.008,0.0744,0.8083,29.6,12.5,1,177.923,0,1
0.402,0.344,0.0523,0.1385,31.2,7.3,1,21.471,1,0
0.109,0.407,0.0526,0.0444,31.9,11.5,1,6.925,0,0
1.145,0.637,0.05,0.7288,26.7,12.9,0,108.01,0,1
0.816,1.355,0.0478,1.105,28.3,39.4,0,156.375,0,1
0.69,1.746,0.0554,1.2042,26.5,9.2,1,197.408,0,0
3.51,0.904,0.0785,3.1732,27.5,35.2,1,736.469,0,1
0.947,1.123,0.0383,1.0631,34.9,7.3,0,120.552,1,0
2.091,0.345,0.0602,0.7215,42.7,9.7,1,128.657,0,0
0.25,1.181,0.1022,0.2955,33.2,3.3,2,89.505,1,0
0.942,0.843,0.0466,0.7943,30.6,11.0,0,109.605,0,0
2.125,0.302,0.0597,0.6412,27.9,17.5,1,113.341,0,1
0.975,2.5,0.0768,2.4369,40.4,9.8,1,553.24,0,0
1.366,0.675,0.1037,0.9225,29.5,13.4,2,283.531,0,1
0.565,1.366,0.091,0.772,27.9,3.3,1,208.051,1,0
0.197,0.697,0.0572,0.1372,33.6,6.3,1,23.24,1,0
0.712,2.262,0.0679,1.611,34.3,11.5,1,323.974,0,0
0.602,0.222,0.0558,0.1335,34.1,9.3,1,22.07,0,0
2.118,0.732,0.0818,1.5503,41.7,9.4,1,375.679,0,0
0.38,0.12,0.0576,0.0457,26.9,26.0,1,7.794,0,1
3.503,0.276,0.094,0.9666,26.6,23.9,1,269.316,0,1
3.273,0.364,0.0214,1.1913,25.9,39.7,0,75.419,0,1
0.385,0.612,0.0723,0.2353,28.6,11.3,1,50.398,0,0
0.528,1.473,0.075,0.7772,31.7,2.6,1,172.327,1,0
2.359,0.603,0.02,1.4222,28.6,35.0,0,84.202,0,1
3.5,0.759,0.0273,2.6562,32.6,11.1,0,214.571,0,0
0.686,2.162,0.0863,1.4832,33.1,3.8,1,379.157,1,0
0.487,1.23,0.0704,0.5993,29.0,6.2,1,124.686,1,0
0.847,0.141,0.0758,0.1196,33.9,6.1,1,26.885,1,0
1.264,0.255,0.0936,0.3227,31.4,0.8,1,89.511,1,0
0.419,0.131,0.0531,0.055,33.4,2.4,1,8.657,1,0
1.434,0.157,0.0934,0.2254,27.3,27.0,1,62.473,0,1
0.153,0.431,0.1185,0.066,35.3,9.7,2,23.13,0,0
0.151,1.141,0.0853,0.1718,33.5,4.4,1,43.339,1,0
0.588,0.324,0.0687,0.1907,35.5,8.6,1,38.727,0,0
0.536,0.498,0.0589,0.2672,30.8,1.3,1,46.62,1,0
0.479,0.501,0.0642,0.2399,28.7,9.0,1,45.62,0,0
0.775,0.814,0.0635,0.631,32.5,10.7,1,118.532,0,0
0.487,1.887,0.0605,0.9186,32.1,1.6,1,164.746,1,0
0.314,3.37,0.038,1.0567,29.7,32.2,0,118.56,0,1
0.47,0.842,0.0685,0.3961,34.8,4.0,1,80.408,1,0
3.785,0.663,0.0647,2.5083,26.0,4.5,1,480.185,1,0
0.63,1.016,0.0873,0.6398,33.0,3.7,1,165.321,1,0
0.688,0.982,0.0714,0.676,36.0,3.5,1,143.07,1,0
0.959,0.694,0.0454,0.6655,29.4,6.3,0,89.385,1,0
4.195,1.168,0.0381,4.901,26.6,34.7,0,552.402,0,1
0.377,0.641,0.0599,0.2412,32.8,9.7,1,42.847,0,0
1.243,3.5,0.0426,4.3521,25.7,34.0,0,550.477,0,1
1.359,0.14,0.0629,0.1905,28.9,37.0,1,35.437,0,1
1.035,0.568,0.0465,0.5882,37.9,0.7,0,80.804,1,0
0.193,0.505,0.0856,0.0973,24.1,8.7,1,24.666,0,0
1.23,1.277,0.0717,1.5701,21.9,7.9,1,334.183,0,0
0.166,0.269,0.0799,0.0448,32.9,6.6,1,10.58,1,0
1.007,0.555,0.0567,0.5592,26.4,11.1,1,93.901,0,0
1.445,1.058,0.064,1.5289,26.2,19.4,1,289.534,0,1
0.337,0.839,0.0784,0.2829,29.7,10.5,1,65.757,0,0
1.943,0.73,0.0673,1.4186,28.4,20.3,1,282.737,0,1
0.131,0.557,0.0742,0.0728,26.7,3.7,1,16.014,1,0
1.957,1.215,0.0464,2.3783,30.4,0.6,0,326.376,1,0
0.717,0.932,0.0772,0.6679,27.4,25.7,1,152.907,0,1
0.345,1.762,0.0483,0.6084,33.7,7.0,0,86.957,1,0
0.244,1.156,0.1017,0.2817,27.9,26.8,2,84.898,0,1
3.164,0.221,0.0639,0.6994,26.1,5.6,1,132.26,1,0
0.175,0.873,0.0821,0.1532,28.4,8.3,1,37.218,0,0
0.322,0.136,0.0512,0.0439,29.2,3.0,1,6.654,1,0
0.527,0.492,0.0557,0.2595,27.3,11.2,1,42.844,0,0
1.068,0.525,0.0547,0.5605,37.1,11.8,1,90.679,0,0
0.887,1.644,0.0248,1.4584,30.6,8.0,0,106.949,1,0
0.234,0.259,0.02,0.0607,27.2,20.5,0,3.599,0,1
0.442,0.925,0.0542,0.4091,42.1,6.3,1,65.74,1,0
0.373,0.271,0.0222,0.101,26.0,10.9,0,6.638,0,1
0.34,2.476,0.0657,0.8422,38.2,2.2,1,163.794,1,0
0.63,0.703,0.0568,0.4427,25.9,13.0,1,74.424,0,1
1.318,1.085,0.02,1.43,26.6,20.7,0,84.607,0,1
0.345,0.932,0.0494,0.3217,34.8,10.0,0,46.977,0,0
0.557,0.39,0.0595,0.2169,38.0,1.5,1,38.193,1,0
0.596,1.952,0.0882,1.1628,39.2,7.3,1,303.353,1,0
3.849,0.889,0.0509,3.4235,29.0,3.4,1,515.326,1,0
3.194,0.671,0.0272,2.1436,24.2,28.8,0,172.548,0,1
1.71,0.701,0.0246,1.1992,34.4,1.9,0,87.43,1,0
0.377,1.871,0.0496,0.7046,36.0,1.9,0,103.351,1,0
0.17,0.149,0.0403,0.0254,34.3,8.4,0,3.027,0,0
0.481,0.494,0.0559,0.2378,29.7,38.1,1,39.389,0,1
0.41,1.574,0.0634,0.646,40.4,8.9,1,121.432,0,0
0.805,0.131,0.0707,0.1051,28.3,2.5,1,22.011,1,0
1.604,0.916,0.0713,1.4683,35.3,10.6,1,310.198,0,0
2.054,0.513,0.048,1.0539,30.5,10.8,0,149.702,0,1
1.963,0.283,0.0726,0.5559,27.5,11.8,1,119.417,0,1
0.546,0.856,0.0294,0.4673,36.2,6.8,0,40.732,1,0
1.262,1.523,0.0627,1.9219,25.3,36.5,1,356.413,0,1
0.475,0.604,0.0643,0.287,29.7,2.9,1,54.586,1,0
0.163,0.227,0.0625,0.037,30.3,3.7,1,6.835,1,0
1.309,0.392,0.0393,0.5137,33.9,7.5,0,59.705,1,0
0.11,3.286,0.0414,0.361,26.5,11.3,0,44.34,0,1
0.626,0.194,0.0729,0.1216,32.6,0.9,1,26.246,1,0
0.5,0.24,0.0516,0.12,27.1,26.3,1,18.331,0,1
1.282,3.5,0.0718,4.4875,30.9,3.5,1,953.797,1,0
1.553,1.81,0.0478,2.8123,30.3,11.5,0,397.886,0,0
0.463,1.082,0.1171,0.5007,24.6,2.9,2,173.35,0,0
1.769,0.231,0.0544,0.4086,28.7,11.4,1,65.857,0,0
0.448,0.32,0.0839,0.1434,29.1,9.7,1,35.615,0,0
0.691,0.259,0.1075,0.179,30.7,11.9,2,56.973,0,0
1.398,0.897,0.0822,1.255,30.0,1.4,1,305.459,1,0
1.281,0.507,0.0529,0.6495,29.2,20.6,1,101.682,0,1
4.472,0.139,0.058,0.6223,29.7,11.8,1,106.894,0,0
0.355,0.375,0.02,0.1333,31.1,11.5,0,7.892,0,0
1.186,1.677,0.02,1.9879,25.9,38.7,0,117.846,0,1
1.041,1.372,0.0597,1.4278,33.6,1.8,1,251.737,1,0
2.566,0.924,0.0484,2.3713,22.9,5.3,0,339.326,0,0
0.27,0.172,0.0376,0.0463,29.3,33.3,0,5.174,0,1
1.494,1.815,0.0607,2.7108,27.5,30.0,1,487.149,0,1
0.94,0.712,0.0482,0.669,25.9,32.4,0,95.742,0,1
0.421,0.646,0.0406,0.272,26.5,37.9,0,32.691,0,1
0.743,2.275,0.0801,1.6912,25.3,37.3,1,400.881,0,1
0.506,0.107,0.0342,0.0542,27.8,28.3,0,5.493,0,1
0.966,0.749,0.0739,0.7238,28.0,5.1,1,158.715,1,0
2.298,1.353,0.0648,3.1101,25.0,13.6,1,597.411,0,1
0.942,0.153,0.0873,0.1438,26.7,15.8,1,37.155,0,1
1.099,0.454,0.0505,0.4984,25.9,9.1,1,74.412,0,0
0.831,3.135,0.0331,2.6062,31.5,11.1,0,254.93,0,0
0.153,0.29,0.0473,0.0443,37.2,3.8,0,6.206,1,0
0.365,0.706,0.0592,0.2578,34.1,11.1,1,45.164,0,0
0.777,1.197,0.0798,0.9301,36.2,8.8,1,219.522,0,0
0.471,0.496,0.0761,0.2338,25.8,19.2,1,52.65,0,1
0.301,0.519,0.0557,0.1561,27.5,20.4,1,25.693,0,1
0.801,0.152,0.0585,0.122,22.2,2.0,1,21.15,0,0
0.49,0.269,0.0739,0.1316,28.8,23.0,1,28.854,0,1
0.399,1.8,0.0811,0.7175,29.5,22.9,1,172.249,0,1
0.724,1.464,0.0665,1.0596,34.1,6.0,1,208.737,1,0
0.243,0.391,0.0658,0.0949,25.5,14.1,1,18.491,0,1
2.728,0.485,0.0648,1.3219,37.7,11.1,1,253.773,0,0
2.123,0.564,0.0654,1.1981,31.8,8.4,1,231.659,0,0
1.33,0.44,0.0654,0.5846,37.6,6.5,1,113.204,1,0
0.212,0.949,0.0401,0.2014,26.0,8.7,0,23.895,0,0
1.596,0.11,0.0276,0.176,34.7,11.8,0,14.394,0,0
1.75,1.797,0.0425,3.1454,33.6,0.6,0,396.139,1,0
1.56,0.386,0.0507,0.6023,34.3,5.7,1,90.504,1,0
0.221,1.747,0.0731,0.3861,29.2,39.1,1,83.644,0,1
1.133,0.585,0.0546,0.6622,34.4,2.0,1,107.146,1,0
1.898,1.298,0.0641,2.4634,40.0,0.5,1,467.163,1,0
0.961,1.498,0.0614,1.4399,28.8,27.4,1,261.791,0,1
1.14,0.387,0.0699,0.4408,34.4,8.6,1,91.179,0,0
0.713,0.918,0.0514,0.6547,27.1,30.2,1,99.735,0,1
0.852,0.848,0.0455,0.7227,25.7,36.1,0,97.389,0,1
0.135,0.617,0.0271,0.0833,22.7,5.2,0,6.662,0,0
1.119,0.607,0.0666,0.6794,25.3,36.1,1,134.096,0,1
0.185,0.391,0.02,0.0724,28.3,20.7,0,4.284,0,1
0.671,0.397,0.0633,0.2664,33.8,0.8,1,49.938,1,0
0.446,0.736,0.0778,0.3282,33.0,5.8,1,75.6,1,0
0.888,0.126,0.057,0.1122,38.3,6.1,1,18.914,1,0
0.243,2.27,0.0673,0.5522,31.2,1.4,1,109.909,1,0
1.276,0.94,0.0514,1.1997,28.6,11.2,1,182.333,0,1
1.685,0.569,0.0599,0.9583,28.2,18.6,1,170.089,0,1
0.278,0.151,0.0568,0.042,36.7,10.1,1,7.067,0,0
0.21,0.895,0.0739,0.1882,25.5,35.5,1,41.22,0,1
0.257,0.114,0.0543,0.0294,34.3,6.8,1,4.735,1,0
2.197,1.011,0.0362,2.2212,31.6,2.0,0,238.351,1,0
0.851,0.16,0.0665,0.1364,31.0,1.0,1,26.828,1,0
0.73,0.954,0.0575,0.6961,31.6,6.5,1,118.41,1,0
0.213,0.517,0.0461,0.1099,28.7,12.7,0,14.999,0,1
1.149,0.969,0.0729,1.1132,28.9,10.3,1,240.339,0,0
